x_red,y_red,x_blue,y_blue,overlap
21,29,22,33,TRUE
19,21,28,32,FALSE
23,16,29,26,TRUE
26,9,31,20,FALSE
31,3,28,12,FALSE
38,1,22,7,FALSE
46,1,25,4,FALSE
23,29,21,34,TRUE
21,20,18,29,FALSE
22,13,18,22,FALSE
23,7,17,15,FALSE
23,1,21,9,FALSE
25,34,32,23,FALSE
27,33,27,28,TRUE
30,37,20,28,FALSE
28,32,19,21,TRUE
35,31,26,21,FALSE
42,28,30,22,FALSE
48,25,39,25,FALSE
54,22,45,24,FALSE
62,21,53,25,FALSE
30,43,30,37,TRUE
28,42,35,35,FALSE
31,45,36,37,FALSE
29,40,27,36,TRUE
36,39,21,39,FALSE
42,36,20,44,FALSE
50,35,27,47,FALSE
57,35,33,45,FALSE
8,14,19,21,FALSE
4,11,16,17,FALSE
1,9,10,11,FALSE
22,30,15,23,TRUE
22,22,18,29,FALSE
28,18,25,27,FALSE
35,18,30,24,FALSE
38,16,33,18,TRUE
43,18,35,11,TRUE
45,15,39,6,TRUE
51,11,47,7,TRUE
53,9,48,9,TRUE
59,14,53,13,TRUE
64,1,58,7,TRUE
64,1,64,1,TRUE
64,1,64,1,TRUE
39,24,29,31,FALSE
44,18,35,29,FALSE
47,13,38,23,FALSE
54,9,38,15,FALSE
64,1,41,9,FALSE
64,1,47,7,FALSE
18,28,14,23,TRUE
18,21,10,23,FALSE
22,16,11,25,FALSE
28,12,4,26,FALSE
33,7,11,31,FALSE
38,3,16,26,FALSE
45,1,19,20,FALSE
25,13,31,21,TRUE
29,7,23,14,FALSE
31,1,25,9,FALSE
28,1,27,2,TRUE
21,34,20,31,TRUE
24,29,22,28,TRUE
27,24,21,27,FALSE
32,19,15,21,FALSE
37,14,18,16,FALSE
42,7,25,15,FALSE
43,1,30,10,FALSE
47,38,30,37,FALSE
54,41,36,34,FALSE
60,41,42,34,FALSE
40,25,41,32,TRUE
47,26,33,35,FALSE
54,27,32,41,FALSE
61,27,38,42,FALSE
38,23,33,25,FALSE
45,19,34,30,FALSE
50,15,41,30,FALSE
52,8,46,27,FALSE
64,1,52,22,FALSE
64,1,53,14,FALSE
29,38,19,28,FALSE
34,36,19,34,FALSE
41,38,25,38,FALSE
47,41,31,41,FALSE
53,47,38,41,FALSE
55,52,45,44,FALSE
59,59,51,49,FALSE
43,42,25,39,FALSE
48,47,28,45,FALSE
53,52,32,48,FALSE
58,57,38,53,FALSE
13,11,20,20,TRUE
11,6,24,15,FALSE
9,3,25,9,FALSE
8,1,20,7,FALSE
19,27,15,28,TRUE
17,17,9,30,FALSE
19,11,4,31,FALSE
20,4,4,26,FALSE
24,1,8,20,FALSE
41,27,28,16,FALSE
48,25,34,20,FALSE
54,21,38,24,FALSE
61,18,45,23,FALSE
17,12,18,29,FALSE
14,5,17,23,FALSE
13,2,15,17,FALSE
31,16,21,33,FALSE
34,9,20,26,FALSE
36,3,25,22,FALSE
40,1,29,17,FALSE
32,17,38,31,FALSE
31,10,30,31,FALSE
35,4,27,25,FALSE
41,1,29,20,FALSE
22,32,23,35,TRUE
24,24,24,42,FALSE
27,18,26,46,FALSE
31,14,32,42,FALSE
37,10,34,35,FALSE
43,7,36,29,FALSE
48,3,36,22,FALSE
64,1,39,16,FALSE
19,29,18,24,TRUE
15,27,22,23,FALSE
15,28,23,23,FALSE
